,X_UTME,Y_UTMN,Z_TVDSS,POLY_ID
114,459497.456299,5936419.315674,1713.705444,1
115,459517.781006,5936241.865723,1702.322876,1
116,459521.229004,5936194.089111,1699.292114,1
117,459527.498535,5936012.060547,1687.860474,1
118,459526.921143,5935979.793701,1685.862427,1
119,459522.440674,5935938.193848,1681.602417,1
120,459505.035645,5935816.446777,1669.385254,1
121,459503.62085,5935802.205078,1667.9198,1
122,459516.609863,5935531.116211,1659.061035,1
123,459523.00293,5935417.213867,1655.244385,1
124,459526.376221,5935336.261475,1651.981079,1
125,459546.139648,5935200.216064,1645.537598,1
126,459569.24353,5935085.997314,1639.68457,1
127,459604.3302,5934980.291992,1633.335205,1
128,459606.543213,5934974.615234,1633.16394,1
129,459629.387451,5934923.836426,1631.355957,1
130,459682.683472,5934813.639404,1629.28479,1
131,459721.120117,5934747.415405,1627.539917,1
132,459777.658203,5934652.54126,1625.876343,1
133,462242.888733,5935463.453613,1688.864624,2
134,462204.861206,5935555.516602,1694.251465,2
135,462195.03125,5935592.448975,1696.383423,2
136,462162.477966,5935708.270996,1703.078857,2
137,462116.769012,5935915.199219,1714.974121,2
138,462113.769135,5935934.556641,1716.080078,2
139,462107.839355,5935958.410645,1717.454834,2
140,462105.874207,5935969.09375,1718.469604,2
141,462099.809967,5936004.938477,1721.883545,2
142,462083.567017,5936089.381348,1728.85083,2
143,462070.581482,5936156.890137,1734.420898,2
144,462048.067413,5936227.157959,1739.973755,2
145,461995.331238,5936387.580566,1752.614624,2
146,461993.953583,5936391.771484,1752.944824,2
147,461980.535522,5936425.552002,1755.543701,2
148,461967.952148,5936451.54834,1757.482178,2
149,461961.326172,5936465.181152,1758.498047,2
150,461875.874542,5936640.996338,1771.598999,2
151,461869.254684,5936652.008545,1772.385132,2
152,461861.067047,5936662.766113,1773.105957,2
153,461750.163376,5936820.921387,1782.774536,2
154,461733.726791,5936840.722656,1783.866821,2
155,461702.676498,5936881.473633,1787.669312,2
156,461606.107053,5936984.192383,1796.750488,2
157,461605.011081,5936985.416016,1796.887817,2
158,461526.704788,5937068.6875,1806.049805,2
159,461447.017227,5937145.556152,1814.153687,2
160,461447.909698,5937152.146484,1818.793823,2
161,461448.344406,5937155.359375,1821.055786,2
162,461449.928116,5937170.266602,1831.330688,2
163,461450.901169,5937179.425781,1837.643311,2
164,461451.051315,5937180.838379,1838.616821,2
165,461404.608078,5937223.690918,1842.103149,2
166,461307.653534,5937303.269043,1843.107544,2
167,461223.751038,5937378.477051,1844.700684,2
168,461151.305878,5937437.304199,1845.378784,2
169,461150.43692,5937438.264648,1845.416016,2
170,461105.35965,5937474.527344,1839.02002,2
171,461096.549316,5937481.615234,1837.769897,2
172,461078.396423,5937496.274902,1835.195679,2
173,461062.865417,5937508.840332,1832.993652,2
174,461000.736816,5937559.139648,1824.186279,2
175,460948.621521,5937606.001953,1816.913696,2
176,460919.97229,5937631.763184,1812.915649,2
177,460925.594116,5937602.538086,1799.5354,2
178,460932.643005,5937565.894043,1782.758545,2
179,460973.017151,5937524.427734,1785.367554,2
180,461010.236084,5937489.981445,1788.010376,2
181,461077.364929,5937428.23877,1792.801392,2
182,461107.449158,5937400.583496,1794.949341,2
183,461126.412994,5937378.543945,1793.475342,2
184,461171.931213,5937339.58252,1791.729126,2
185,461301.258453,5937217.347656,1785.28479,2
186,461429.498901,5937106.144531,1780.180542,2
187,461428.371552,5937105.262207,1779.044434,2
188,461420.597702,5937099.17627,1771.209473,2
189,461403.858597,5937086.071777,1754.338257,2
190,461402.622528,5937085.104492,1753.092651,2
191,461398.971207,5937081.983887,1749.246094,2
192,461393.5625,5937079.020508,1744.601685,2
193,461366.398468,5937064.432617,1721.463623,2
194,461393.72113,5937041.111328,1720.612061,2
195,461546.07621,5936900.26709,1715.438843,2
196,461606.07671,5936842.413086,1713.307861,2
197,461663.032394,5936776.349121,1710.847168,2
198,461691.17617,5936745.775635,1710.707886,2
199,461734.863472,5936690.540771,1710.323853,2
200,461779.748688,5936631.891602,1709.888428,2
