# See gridqc1.rms12.0.1 @jriv
# From RMS 12.0.1 IPL. These are center cell points for gridqc1 grid
# and GetCellIndices in IPL reports coordinates are inside grid with same IJK
I,J,K,X,Y,Z
2,6,4,534168.3125,6706060.125,1978.67700195
3,6,4,534423.953125,6706209.375,1909.25585938
4,6,4,534679.703125,6706358.625,1843.44042969
5,6,4,534935.515625,6706507.875,1769.99536133
6,6,4,535191.375,6706657,1711.00146484
7,6,4,535447.234375,6706806.25,1690.02990723
8,6,4,535703.046875,6706955.5,1670.75244141
9,6,4,535958.765625,6707104.5,1661.47998047
1,7,4,534137.84375,6705521.125,1890.60144043
2,7,4,534393.359375,6705670.375,1848.16894531
3,7,4,534649.046875,6705819.5,1791.32910156
4,7,4,534904.859375,6705968.75,1759.45581055
5,7,4,535160.734375,6706118,1735.64379883
6,7,4,535416.65625,6706267,1723.95092773
7,7,4,535672.59375,6706416.125,1708.11425781
8,7,4,535928.484375,6706565.25,1689.3684082
9,7,4,536184.28125,6706714.25,1678.46923828
1,8,4,534362.859375,6705131.375,1779.36474609
2,8,4,534618.40625,6705280.625,1763.59924316
3,8,4,534874.140625,6705429.75,1743.17248535
4,8,4,535130.015625,6705578.875,1744.61535645
5,8,4,535385.953125,6705728,1740.86010742
6,8,4,535641.953125,6705877,1733.08435059
7,8,4,535897.96875,6706026,1718.58447266
8,8,4,536153.921875,6706175,1704.08410645
9,8,4,536409.796875,6706323.875,1693.91967773
1,9,4,534587.90625,6704741.625,1772.95751953
2,9,4,534843.484375,6704890.875,1759.53112793
3,9,4,535099.25,6705040,1757.93383789
4,9,4,535355.171875,6705189,1756.0090332
5,9,4,535611.1875,6705338,1749.19787598
6,9,4,535867.265625,6705487,1739.50024414
7,9,4,536123.359375,6705636,1728.33508301
8,9,4,536379.40625,6705784.875,1717.72058105
9,9,4,536635.359375,6705933.625,1707.18286133
1,10,4,534812.96875,6704351.875,1769.84631348
2,10,4,535068.578125,6704501,1767.8170166
3,10,4,535324.390625,6704650,1765.80358887
4,10,4,535580.375,6704799,1762.9140625
5,10,4,535836.484375,6704948,1755.28479004
6,10,4,536092.640625,6705096.875,1747.28808594
7,10,4,536348.8125,6705245.75,1739.30395508
8,10,4,536604.953125,6705394.5,1729.76977539
9,10,4,536860.984375,6705543.25,1722.26269531
1,1,5,532787.59375,6707859.625,2181.59423828
2,1,5,533042.96875,6708008.875,2198.07861328
3,1,5,533298.421875,6708158.25,2224.27441406
4,1,5,533553.890625,6708307.75,2262.48486328
5,1,5,533809.390625,6708457.25,2307.55639648
6,1,5,534064.921875,6708606.875,2332.78417969
7,1,5,534320.421875,6708756.5,2264.77807617
8,1,5,534575.859375,6708906,2059.07299805
9,1,5,534831.21875,6709055.5,1839.40539551
1,2,5,533012.6875,6707469.875,2209.49926758
2,2,5,533268.078125,6707619.125,2225.30834961
3,2,5,533523.5625,6707768.5,2249.66967773
4,2,5,533779.09375,6707917.875,2284.02661133
5,2,5,534034.671875,6708067.25,2312.22753906
6,2,5,534290.265625,6708216.75,2274.59960938
7,2,5,534545.828125,6708366.25,2092.3425293
8,2,5,534801.328125,6708515.75,1843.10266113
9,2,5,535056.765625,6708665.25,1664.06945801
1,3,5,533237.734375,6707080.125,2241.38208008
2,3,5,533493.15625,6707229.375,2250.86328125
3,3,5,533748.671875,6707378.75,2254.60668945
4,3,5,534004.265625,6707528.125,2252.71582031
5,3,5,534259.921875,6707677.375,2223.79370117
6,3,5,534515.578125,6707826.75,2092.23291016
7,3,5,534771.203125,6707976.25,1868.08825684
9,3,5,535282.265625,6708275.125,1641.63806152
1,4,5,533462.765625,6706690.375,2225.48876953
2,4,5,533718.21875,6706839.625,2200.70214844
4,4,5,534229.421875,6707138.25,2113.68359375
5,4,5,534485.140625,6707287.625,2032.93432617
6,4,5,534740.859375,6707436.875,1882.69641113
7,4,5,534996.546875,6707586.25,1684.6652832
8,4,5,535252.1875,6707735.625,1655.26782227
9,4,5,535507.765625,6707884.875,1645.39526367
6,5,5,534966.125,6707047,1742.76342773
7,5,5,535221.890625,6707196.25,1678.54431152
8,5,5,535477.609375,6707345.5,1661.93188477
9,5,5,535733.265625,6707494.625,1653.52172852
2,6,5,534168.3125,6706060.125,1978.70507813
3,6,5,534423.953125,6706209.375,1909.52661133
4,6,5,534679.703125,6706358.625,1844.86547852
5,6,5,534935.515625,6706507.875,1772.51989746
6,6,5,535191.375,6706657,1716.00744629
7,6,5,535447.234375,6706806.25,1696.11547852
8,6,5,535703.046875,6706955.5,1677.80810547
9,6,5,535958.765625,6707104.5,1668.74609375
1,7,5,534137.84375,6705521.125,1892.54699707
2,7,5,534393.359375,6705670.375,1851.89233398
3,7,5,534649.046875,6705819.5,1795.11279297
4,7,5,534904.859375,6705968.75,1764.10595703
5,7,5,535160.734375,6706118,1741.09814453
6,7,5,535416.65625,6706267,1729.68493652
7,7,5,535672.59375,6706416.125,1714.47387695
8,7,5,535928.484375,6706565.25,1696.31689453
9,7,5,536184.28125,6706714.25,1685.76123047
1,8,5,534362.859375,6705131.375,1785.2019043
2,8,5,534618.40625,6705280.625,1770.55578613
3,8,5,534874.140625,6705429.75,1750.08447266
4,8,5,535130.015625,6705578.875,1751.07446289
5,8,5,535385.953125,6705728,1746.98461914
6,8,5,535641.953125,6705877,1739.34606934
7,8,5,535897.96875,6706026,1725.18103027
8,8,5,536153.921875,6706175,1711.03198242
9,8,5,536409.796875,6706323.875,1701.14404297
1,9,5,534587.90625,6704741.625,1780.79345703
2,9,5,534843.484375,6704890.875,1766.57446289
3,9,5,535099.25,6705040,1764.9777832
4,9,5,535355.171875,6705189,1762.74279785
5,9,5,535611.1875,6705338,1755.78967285
6,9,5,535867.265625,6705487,1746.15527344
7,9,5,536123.359375,6705636,1735.1541748
8,9,5,536379.40625,6705784.875,1724.7121582
9,9,5,536635.359375,6705933.625,1714.34899902
1,10,5,534812.96875,6704351.875,1777.82312012
2,10,5,535068.578125,6704501,1775.49609375
3,10,5,535324.390625,6704650,1773.1973877
4,10,5,535580.375,6704799,1770.06616211
5,10,5,535836.484375,6704948,1762.26794434
6,10,5,536092.640625,6705096.875,1754.27490234
7,10,5,536348.8125,6705245.75,1746.32983398
8,10,5,536604.953125,6705394.5,1736.85009766
9,10,5,536860.984375,6705543.25,1729.4765625
